file;Date;team;DomExt;period;time;athletenum;athletename;action;score;team_adv;position_tir;nb_def_reb;nb_att_reb;nb_att_0;nb_att_1;nb_att_2;nb_att_3;nb_att_4;nb_att_5;nb_att_6;nb_att_tot;score off;trans;score trans;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;Le Mans;Dom;Q3;07:22;23;Cameron Clark;defensive rebound;35;MHP Riesen Ludwigsburg;5;2;1;;1;;;;3;1;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;MHP Riesen Ludwigsburg;Ext;Q3;06:52;5;Owen Klassen;offensive rebound;40;Le Mans;5;2;1;;1;2;;;1;1;5;0;;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;Le Mans;Dom;Q3;06:15;23;Cameron Clark;defensive rebound;39;MHP Riesen Ludwigsburg;1;2;1;;1;1;2;;;1;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;Le Mans;Dom;Q3;06:08;21;Michael Thompson;defensive rebound;39;MHP Riesen Ludwigsburg;4;3;1;;2;1;;;;2;5;;o;2;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;Le Mans;Dom;Q3;04:47;12;Petr Cornelie;defensive rebound;41;MHP Riesen Ludwigsburg;5;3;3;;3;;;;2;;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;MHP Riesen Ludwigsburg;Ext;Q3;04:27;20;Lamont Jones;defensive rebound;40;Le Mans;5;4;3;;3;;;;1;1;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;Le Mans;Dom;Q3;03:33;15;Wilfried Yeguete;defensive rebound;46;MHP Riesen Ludwigsburg;3;4;2;;1;1;1;;;2;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;MHP Riesen Ludwigsburg;Ext;Q3;03:11;30;Kelan Martin;defensive rebound;42;Le Mans;5;4;1;;1;1;;1;;2;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;Le Mans;Dom;Q3;02:31;21;Michael Thompson;defensive rebound;46;MHP Riesen Ludwigsburg;4;4;3;;2;1;;1;;1;5;;n;;;;;;
18-19_game_2310_Le-Mans-MHP-Riesen-Ludwigsburg.html;23/10/2018;Le Mans;Dom;Q3;01:50;15;Wilfried Yeguete;defensive rebound;48;MHP Riesen Ludwigsburg;2;3;0;;;1;2;;1;1;5;;o;0;;;;;
